Betreiber;Art der Ladeeinrichung;Anzahl Ladepunkte;Steckertypen1;Steckertypen2;Steckertypen3;Steckertypen4;P1 [kW];P2 [kW];P3 [kW];P4 [kW];Nennleistung Ladeeinrichtung [kW];Kreis/kreisfreie Stadt;Ort;Postleitzahl;Straße;Hausnummer;Adresszusatz;Inbetriebnahmedatum;koordinaten;Anzeigename (Karte);Steckertypen5;P5 [kW];Public Key5;Steckertypen6;P6 [kW];Public Key6
EnBW mobility+ AG und Co.KG;Normalladeeinrichtung;2.0;"AC Typ 2 Steckdose; AC Schuko";"AC Typ 2 Steckdose; AC Schuko";;;22.0;22.0;;;30.0;Landkreis Alb-Donau-Kreis;Langenau;89129;Karlstr.;45;;;48.500374, 10.117366;;;;;;;
SWU Energie GmbH;Normalladeeinrichtung;1.0;AC Typ 2 Steckdose;;;;22.0;;;;22.0;Landkreis Alb-Donau-Kreis;Langenau;89129;Keplerstraße;16;;;48.50509, 10.128139;;;;;;;
SWU Energie GmbH;Normalladeeinrichtung;1.0;AC Typ 2 Steckdose;;;;22.0;;;;22.0;Landkreis Alb-Donau-Kreis;Langenau;89129;Sonnenstraße;4;;;48.500211, 10.121083;;;;;;;
LAN1 Hotspots GmbH;Normalladeeinrichtung;3.0;AC Typ 2 Steckdose;AC Typ 2 Steckdose;AC Typ 2 Steckdose;;11.0;11.0;11.0;;33.0;Landkreis Alb-Donau-Kreis;Langenau;89129;Magirusstraße;16;;;48.500943, 10.082036;LAN1 Hotspots GmbH;;;;;;
Solarcollect;Normalladeeinrichtung;2.0;AC Typ 2 Fahrzeugkupplung;AC Schuko;;;11.0;3.7;;;11.0;Landkreis Alb-Donau-Kreis;Langenau;89129;Eichlesstrasse;18;;;48.505686, 10.138781;;;;;;;
Irmgard Stängle;Normalladeeinrichtung;1.0;AC Typ 2 Steckdose;;;;3.0;;;;3.0;Landkreis Alb-Donau-Kreis;Nerenstetten;89129;Ortsstr.;8;;;48.518588, 10.120255;;;;;;;
Joachim Stader;Normalladeeinrichtung;2.0;AC Typ 2 Fahrzeugkupplung;AC Typ 2 Fahrzeugkupplung;;;11.0;11.0;;;11.0;Landkreis Alb-Donau-Kreis;Langenau;89129;Kuftenstraße;54;;;48.498206, 10.124507;;;;;;;
Johannes Stängle;Normalladeeinrichtung;2.0;AC Typ 2 Steckdose;AC Typ 2 Steckdose;;;11.0;11.0;;;11.0;Landkreis Alb-Donau-Kreis;Nerenstetten;89129;Ortsstr.;7;;;48.518329, 10.119319;;;;;;;
autohaus Langenau GmbH;Normalladeeinrichtung;2.0;DC Fahrzeugkupplung Typ Combo 2 (CCS);AC Typ 2 Steckdose;;;22.0;11.0;;;33.0;Landkreis Alb-Donau-Kreis;Langenau;89129;Kiesgräble;1;;;48.493378, 10.108723;;;;;;;
Markus Härle;Normalladeeinrichtung;1.0;AC Typ 2 Fahrzeugkupplung;;;;4.0;;;;4.0;Landkreis Alb-Donau-Kreis;Blaustein;89134;Oberer Wiesenweg;7;;;48.414713, 9.874603;;;;;;;
Autohaus Burger GmbH & Co. KG;Normalladeeinrichtung;2.0;AC Typ 2 Fahrzeugkupplung;AC Typ 2 Fahrzeugkupplung;;;11.0;11.0;;;22.0;Landkreis Alb-Donau-Kreis;Blaubeuren;89143;Ehinger Str.;21;;;48.403661, 9.774677;;;;;;;
Mattheis Gastronomie & Event GmbH;Normalladeeinrichtung;1.0;AC Typ 2 Steckdose;;;;22.0;;;;22.0;Landkreis Alb-Donau-Kreis;Blaubeuren;89143;Dorfstrasse;56;;;48.439328, 9.817808;;;;;;;
Citywatt GmbH;Normalladeeinrichtung;2.0;AC Typ 2 Steckdose;AC Typ 2 Steckdose;;;22.0;22.0;;;22.0;Landkreis Alb-Donau-Kreis;Machtolsheim;89150;Treffensbucher Weg;13;;;48.491529, 9.750237;Citywatt GmbH;;;;;;
Häberle Feinmechanik CNC-Technik GmbH;Schnellladeeinrichtung;1.0;DC Fahrzeugkupplung Typ Combo 2 (CCS);;;;100.0;;;;100.0;Landkreis Alb-Donau-Kreis;Laichingen;89150;Wilhelm-Maybach-Straße;9;;;48.493246, 9.710927;;;;;;;
SWU Energie GmbH;Normalladeeinrichtung;1.0;AC Typ 2 Steckdose;;;;22.0;;;;22.0;Landkreis Alb-Donau-Kreis;Erbach-Bach;89155;Hauptstraße;15;;;48.330122, 9.853781;;;;;;;
SWU Energie GmbH;Normalladeeinrichtung;1.0;AC Typ 2 Steckdose;;;;22.0;;;;22.0;Landkreis Alb-Donau-Kreis;Donaurieden Erbach;89155;Kirchenberg;1;;;48.31389, 9.86102;;;;;;;
Katrin Schneiderhan;Normalladeeinrichtung;1.0;AC Typ 2 Steckdose;;;;16.7;;;;16.7;Landkreis Alb-Donau-Kreis;Erbach;89155;Alte Landstraße;47;;;48.304437, 9.905832;;;;;;;
Stephen  Böhm;Normalladeeinrichtung;1.0;AC Typ 2 Fahrzeugkupplung;;;;11.0;;;;11.0;Landkreis Alb-Donau-Kreis;Erbach;89155;Dekan-Eiberger-Weg;10;;;48.297647, 9.901748;;;;;;;
EnBW mobility+ AG und Co.KG;Normalladeeinrichtung;2.0;"AC Typ 2 Steckdose; AC Schuko";"AC Typ 2 Steckdose; AC Schuko";;;22.0;22.0;;;30.0;Landkreis Alb-Donau-Kreis;Dornstadt;89160;Hirschstr.;8;;;48.464622, 9.941352;;;;;;;
EnBW mobility+ AG und Co.KG;Normalladeeinrichtung;2.0;"AC Typ 2 Steckdose; AC Schuko";"AC Typ 2 Steckdose; AC Schuko";;;22.0;22.0;;;30.0;Landkreis Alb-Donau-Kreis;Dornstadt (Tomerdingen);89160;Hahnenweilerstr.;2;;;48.482237, 9.911473;;;;;;;
Lidl Dienstleistung GmbH & Co. KGe;Schnellladeeinrichtung;3.0;"AC Typ 2 Fahrzeugkupplung; DC Fahrzeugkupplung Typ Combo 2 (CCS)";"AC Typ 2 Fahrzeugkupplung; DC CHAdeMO";"AC Typ 2 Steckdose; AC Typ 2 Fahrzeugkupplung";;50.0;50.0;22.0;;75.0;Landkreis Alb-Donau-Kreis;Dornstadt;89160;Lerchenbergstr.;18;LDE_5523_12323900050004;;48.461936, 9.948326;Lidl;;;;;;
Kiesling Fahrzeugbau GmbH;Normalladeeinrichtung;2.0;AC Typ 2 Steckdose;"AC Typ 2 Steckdose; AC Typ 2 Fahrzeugkupplung";;;22.0;22.0;;;22.0;Landkreis Alb-Donau-Kreis;Dornstadt-Tomerdingen;89160;Lauteracher Weg;10;Kiesling Fahrzeugbau GmbH;;48.47868, 9.90435;;;;;;;
Würth Elektrogroßhandel GmbH & Co. KG;Normalladeeinrichtung;1.0;AC Typ 2 Fahrzeugkupplung;;;;22.0;;;;22.0;Landkreis Alb-Donau-Kreis;Dornstadt;89160;Dieselstraße;15;;;48.459207, 9.954281;;;;;;;
Gemeinde Dornstadt;Normalladeeinrichtung;2.0;AC Typ 2 Steckdose;AC Typ 2 Steckdose;;;22.0;22.0;;;20.0;Landkreis Alb-Donau-Kreis;Dornstadt;89160;Hauptstr.;11;;;48.513378, 9.850742;;;;;;;
SWU Energie GmbH;Normalladeeinrichtung;1.0;AC Typ 2 Steckdose;;;;22.0;;;;22.0;Landkreis Alb-Donau-Kreis;Dietenheim;89165;Krumme Gasse;1;;;48.211078, 10.069746;;;;;;;
Präg Energiedienstleistungen GmbH & Co. KG;Normalladeeinrichtung;2.0;AC Typ 2 Steckdose;AC Typ 2 Steckdose;;;22.0;22.0;;;22.0;Landkreis Alb-Donau-Kreis;Dietenheim;89165;Ziegelstraße;4;;;48.239592, 10.060476;Präg Strom;;;;;;
SWU Energie GmbH;Normalladeeinrichtung;1.0;AC Typ 2 Steckdose;;;;22.0;;;;22.0;Landkreis Alb-Donau-Kreis;Lonsee;89173;Hindenburgstraße;16;;;48.54366, 9.9166;;;;;;;
Shisha Cloud GmbH;Normalladeeinrichtung;2.0;AC Typ 2 Fahrzeugkupplung;AC Typ 2 Fahrzeugkupplung;;;22.0;22.0;;;22.0;Landkreis Alb-Donau-Kreis;Lonsee;89173;Im Steinige;2/1;;;48.518901, 9.903521;;;;;;;
EnBW mobility+ AG und Co.KG;Normalladeeinrichtung;2.0;"AC Typ 2 Steckdose; AC Schuko";"AC Typ 2 Steckdose; AC Schuko";;;22.0;22.0;;;30.0;Landkreis Alb-Donau-Kreis;Beimerstetten;89179;Heuweg;12;;;48.480387, 9.980588;;;;;;;
SWU Energie GmbH;Normalladeeinrichtung;2.0;AC Typ 2 Steckdose;AC Typ 2 Steckdose;;;22.0;22.0;;;44.0;Landkreis Alb-Donau-Kreis;Bernstadt;89182;Bürggasse;25;Burgplatz;;48.498104, 10.020632;;;;;;;
Angela Rapp;Normalladeeinrichtung;1.0;AC Typ 2 Steckdose;;;;11.0;;;;11.0;Landkreis Alb-Donau-Kreis;Hüttisheim;89185;Stöcklesäcker;12;;;48.280079, 9.937388;;;;;;;
Golf Club Ulm e.V.;Normalladeeinrichtung;2.0;AC Typ 2 Steckdose;AC Typ 2 Steckdose;;;22.0;22.0;;;22.0;Landkreis Alb-Donau-Kreis;Illerrieden;89186;Wochenauer Hof;2;;;48.288563, 10.037934;;;;;;;
Bossard Deutschland GmbHwww.bossard.de;Normalladeeinrichtung;2.0;AC Typ 2 Fahrzeugkupplung;AC Typ 2 Fahrzeugkupplung;;;11.0;11.0;;;22.0;Landkreis Alb-Donau-Kreis;Illerrieden;89186;Max-Eyth-Str.;14;;;48.273902, 10.056331;;;;;;;
Bossard Deutschland GmbHwww.bossard.de;Normalladeeinrichtung;2.0;AC Typ 2 Fahrzeugkupplung;AC Typ 2 Fahrzeugkupplung;;;11.0;11.0;;;22.0;Landkreis Alb-Donau-Kreis;Illerrieden;89186;Max-Eyth-Str.;14;;;48.274577, 10.056807;;;;;;;
Bossard Deutschland GmbHwww.bossard.de;Normalladeeinrichtung;2.0;AC Typ 2 Fahrzeugkupplung;AC Typ 2 Fahrzeugkupplung;;;11.0;11.0;;;22.0;Landkreis Alb-Donau-Kreis;Illerrieden;89186;Max-Eyth-Str.;14;;;48.274534, 10.056649;;;;;;;
Bossard Deutschland GmbHwww.bossard.de;Normalladeeinrichtung;2.0;AC Typ 2 Fahrzeugkupplung;AC Typ 2 Fahrzeugkupplung;;;11.0;11.0;;;22.0;Landkreis Alb-Donau-Kreis;Illerrieden;89186;Max-Eyth-Str.;14;;;48.274509, 10.056548;;;;;;;
TM Carports;Normalladeeinrichtung;4.0;AC Typ 2 Steckdose;AC Typ 2 Steckdose;AC Typ 2 Steckdose;AC Typ 2 Steckdose;22.0;22.0;22.0;22.0;44.0;Landkreis Alb-Donau-Kreis;Illerrieden;89186;Im Tal;12;;;48.263765, 10.058762;;;;;;;
Zweckverband Region Schwäbische Alb;Normalladeeinrichtung;1.0;AC Typ 2 Steckdose;;;;11.0;;;;11.0;Landkreis Alb-Donau-Kreis;Merklingen;89188;Mühlweg;100;P&R Parkplatz Bahnhof Merklingen Parkplatz 106;;48.52077, 9.73999;;;;;;;
Zweckverband Region Schwäbische Alb;Normalladeeinrichtung;1.0;AC Typ 2 Steckdose;;;;11.0;;;;11.0;Landkreis Alb-Donau-Kreis;Merklingen;89188;Mühlweg;100;P&R Parkplatz Bahnhof Merklingen Parkplatz 107;;48.52077, 9.73999;;;;;;;
Zweckverband Region Schwäbische Alb;Normalladeeinrichtung;1.0;AC Typ 2 Steckdose;;;;11.0;;;;11.0;Landkreis Alb-Donau-Kreis;Merklingen;89188;Mühlweg;100;P&R Parkplatz Bahnhof Merklingen Parkplatz 108;;48.52077, 9.73999;;;;;;;
Zweckverband Region Schwäbische Alb;Normalladeeinrichtung;1.0;AC Typ 2 Steckdose;;;;11.0;;;;11.0;Landkreis Alb-Donau-Kreis;Merklingen;89188;Mühlweg;100;P&R Parkplatz Bahnhof Merklingen Parkplatz 109;;48.52077, 9.73999;;;;;;;
Zweckverband Region Schwäbische Alb;Normalladeeinrichtung;1.0;AC Typ 2 Steckdose;;;;11.0;;;;11.0;Landkreis Alb-Donau-Kreis;Merklingen;89188;Mühlweg;100;P&R Parkplatz Bahnhof Merklingen Parkplatz 110;;48.52077, 9.73999;;;;;;;
Zweckverband Region Schwäbische Alb;Normalladeeinrichtung;1.0;AC Typ 2 Steckdose;;;;11.0;;;;11.0;Landkreis Alb-Donau-Kreis;Merklingen;89188;Mühlweg;100;P&R Parkplatz Bahnhof Merklingen Parkplatz 113;;48.52077, 9.73999;;;;;;;
Zweckverband Region Schwäbische Alb;Normalladeeinrichtung;1.0;AC Typ 2 Steckdose;;;;11.0;;;;11.0;Landkreis Alb-Donau-Kreis;Merklingen;89188;Mühlweg;100;P&R Parkplatz Bahnhof Merklingen Parkplatz 115;;48.52077, 9.73999;;;;;;;
Zweckverband Region Schwäbische Alb;Normalladeeinrichtung;1.0;AC Typ 2 Steckdose;;;;11.0;;;;11.0;Landkreis Alb-Donau-Kreis;Merklingen;89188;Mühlweg;100;P&R Parkplatz Bahnhof Merklingen Parkplatz 117;;48.52077, 9.73999;;;;;;;
Zweckverband Region Schwäbische Alb;Normalladeeinrichtung;1.0;AC Typ 2 Steckdose;;;;11.0;;;;11.0;Landkreis Alb-Donau-Kreis;Merklingen;89188;Mühlweg;100;P&R Parkplatz Bahnhof Merklingen Parkplatz 122;;48.52077, 9.73999;;;;;;;
Zweckverband Region Schwäbische Alb;Normalladeeinrichtung;1.0;AC Typ 2 Steckdose;;;;11.0;;;;11.0;Landkreis Alb-Donau-Kreis;Merklingen;89188;Mühlweg;100;P&R Parkplatz Bahnhof Merklingen Parkplatz 124;;48.52077, 9.73999;;;;;;;
Zweckverband Region Schwäbische Alb;Normalladeeinrichtung;1.0;AC Typ 2 Steckdose;;;;11.0;;;;11.0;Landkreis Alb-Donau-Kreis;Merklingen;89188;Mühlweg;100;P&R Parkplatz Bahnhof Merklingen Parkplatz 128;;48.52077, 9.73999;;;;;;;
Zweckverband Region Schwäbische Alb;Normalladeeinrichtung;1.0;AC Typ 2 Steckdose;;;;11.0;;;;11.0;Landkreis Alb-Donau-Kreis;Merklingen;89188;Mühlweg;100;P&R Parkplatz Bahnhof Merklingen Parkplatz 130;;48.52077, 9.73999;;;;;;;
Zweckverband Region Schwäbische Alb;Normalladeeinrichtung;1.0;AC Typ 2 Steckdose;;;;11.0;;;;11.0;Landkreis Alb-Donau-Kreis;Merklingen;89188;Mühlweg;100;P&R Parkplatz Bahnhof Merklingen Parkplatz 172;;48.52077, 9.73999;;;;;;;
Zweckverband Region Schwäbische Alb;Normalladeeinrichtung;1.0;AC Typ 2 Steckdose;;;;11.0;;;;11.0;Landkreis Alb-Donau-Kreis;Merklingen;89188;Mühlweg;100;P&R Parkplatz Bahnhof Merklingen Parkplatz 174;;48.52077, 9.73999;;;;;;;
Zweckverband Region Schwäbische Alb;Normalladeeinrichtung;1.0;AC Typ 2 Steckdose;;;;11.0;;;;11.0;Landkreis Alb-Donau-Kreis;Merklingen;89188;Mühlweg;100;P&R Parkplatz Bahnhof Merklingen Parkplatz 175;;48.52077, 9.73999;;;;;;;
Zweckverband Region Schwäbische Alb;Normalladeeinrichtung;1.0;AC Typ 2 Steckdose;;;;11.0;;;;11.0;Landkreis Alb-Donau-Kreis;Merklingen;89188;Mühlweg;100;P&R Parkplatz Bahnhof Merklingen Parkplatz 176;;48.52077, 9.73999;;;;;;;
Zweckverband Region Schwäbische Alb;Normalladeeinrichtung;1.0;AC Typ 2 Steckdose;;;;11.0;;;;11.0;Landkreis Alb-Donau-Kreis;Merklingen;89188;Mühlweg;100;P&R Parkplatz Bahnhof Merklingen Parkplatz 177;;48.52077, 9.73999;;;;;;;
Zweckverband Region Schwäbische Alb;Normalladeeinrichtung;1.0;AC Typ 2 Steckdose;;;;11.0;;;;11.0;Landkreis Alb-Donau-Kreis;Merklingen;89188;Mühlweg;100;P&R Parkplatz Bahnhof Merklingen Parkplatz 184;;48.52077, 9.73999;;;;;;;
Zweckverband Region Schwäbische Alb;Normalladeeinrichtung;1.0;AC Typ 2 Steckdose;;;;11.0;;;;11.0;Landkreis Alb-Donau-Kreis;Merklingen;89188;Mühlweg;100;P&R Parkplatz Bahnhof Merklingen Parkplatz 187;;48.52077, 9.73999;;;;;;;
Zweckverband Region Schwäbische Alb;Normalladeeinrichtung;1.0;AC Typ 2 Steckdose;;;;11.0;;;;11.0;Landkreis Alb-Donau-Kreis;Merklingen;89188;Mühlweg;100;P&R Parkplatz Bahnhof Merklingen Parkplatz 190;;48.52077, 9.73999;;;;;;;
Zweckverband Region Schwäbische Alb;Normalladeeinrichtung;1.0;AC Typ 2 Steckdose;;;;11.0;;;;11.0;Landkreis Alb-Donau-Kreis;Merklingen;89188;Mühlweg;100;P&R Parkplatz Bahnhof Merklingen Parkplatz 191;;48.52077, 9.73999;;;;;;;
Zweckverband Region Schwäbische Alb;Normalladeeinrichtung;1.0;AC Typ 2 Steckdose;;;;11.0;;;;11.0;Landkreis Alb-Donau-Kreis;Merklingen;89188;Mühlweg;100;P&R Parkplatz Bahnhof Merklingen Parkplatz 192;;48.52077, 9.73999;;;;;;;
Zweckverband Region Schwäbische Alb;Normalladeeinrichtung;1.0;AC Typ 2 Steckdose;;;;11.0;;;;11.0;Landkreis Alb-Donau-Kreis;Merklingen;89188;Mühlweg;100;P&R Parkplatz Bahnhof Merklingen Parkplatz 194;;48.52077, 9.73999;;;;;;;
Zweckverband Region Schwäbische Alb;Normalladeeinrichtung;1.0;AC Typ 2 Steckdose;;;;11.0;;;;11.0;Landkreis Alb-Donau-Kreis;Merklingen;89188;Mühlweg;100;P&R Parkplatz Bahnhof Merklingen Parkplatz 198;;48.52077, 9.73999;;;;;;;
Zweckverband Region Schwäbische Alb;Normalladeeinrichtung;1.0;AC Typ 2 Steckdose;;;;11.0;;;;11.0;Landkreis Alb-Donau-Kreis;Merklingen;89188;Mühlweg;100;P&R Parkplatz Bahnhof Merklingen Parkplatz 199;;48.52077, 9.73999;;;;;;;
Zweckverband Region Schwäbische Alb;Normalladeeinrichtung;1.0;AC Typ 2 Steckdose;;;;11.0;;;;11.0;Landkreis Alb-Donau-Kreis;Merklingen;89188;Mühlweg;100;P&R Parkplatz Bahnhof Merklingen Parkplatz 201;;48.52077, 9.73999;;;;;;;
Zweckverband Region Schwäbische Alb;Normalladeeinrichtung;1.0;AC Typ 2 Steckdose;;;;11.0;;;;11.0;Landkreis Alb-Donau-Kreis;Merklingen;89188;Mühlweg;100;P&R Parkplatz Bahnhof Merklingen Parkplatz 74;;48.52041, 9.74128;;;;;;;
Zweckverband Region Schwäbische Alb;Normalladeeinrichtung;1.0;AC Typ 2 Steckdose;;;;11.0;;;;11.0;Landkreis Alb-Donau-Kreis;Merklingen;89188;Mühlweg;100;P&R Parkplatz Bahnhof Merklingen Parkplatz 77;;48.52041, 9.74128;;;;;;;
Zweckverband Region Schwäbische Alb;Normalladeeinrichtung;1.0;AC Typ 2 Steckdose;;;;11.0;;;;11.0;Landkreis Alb-Donau-Kreis;Merklingen;89188;Mühlweg;100;P&R Parkplatz Bahnhof Merklingen Parkplatz 79;;48.52041, 9.74128;;;;;;;
Zweckverband Region Schwäbische Alb;Normalladeeinrichtung;1.0;AC Typ 2 Steckdose;;;;11.0;;;;11.0;Landkreis Alb-Donau-Kreis;Merklingen;89188;Mühlweg;100;P&R Parkplatz Bahnhof Merklingen Parkplatz 81;;48.52041, 9.74128;;;;;;;
Zweckverband Region Schwäbische Alb;Normalladeeinrichtung;1.0;AC Typ 2 Steckdose;;;;11.0;;;;11.0;Landkreis Alb-Donau-Kreis;Merklingen;89188;Mühlweg;100;P&R Parkplatz Bahnhof Merklingen Parkplatz 87;;48.52041, 9.74128;;;;;;;
Zweckverband Region Schwäbische Alb;Normalladeeinrichtung;1.0;AC Typ 2 Steckdose;;;;11.0;;;;11.0;Landkreis Alb-Donau-Kreis;Merklingen;89188;Mühlweg;100;P&R Parkplatz Bahnhof Merklingen Parkplatz 91;;48.52041, 9.74128;;;;;;;
Zweckverband Region Schwäbische Alb;Normalladeeinrichtung;1.0;AC Typ 2 Steckdose;;;;11.0;;;;11.0;Landkreis Alb-Donau-Kreis;Merklingen;89188;Mühlweg;100;P&R Parkplatz Bahnhof Merklingen Parkplatz 94;;48.52041, 9.74128;;;;;;;
Zweckverband Region Schwäbische Alb;Normalladeeinrichtung;1.0;AC Typ 2 Steckdose;;;;11.0;;;;11.0;Landkreis Alb-Donau-Kreis;Merklingen;89188;Mühlweg;100;P&R Parkplatz Bahnhof Merklingen Parkplatz 100;;48.52041, 9.74128;;;;;;;
Zweckverband Region Schwäbische Alb;Normalladeeinrichtung;1.0;AC Typ 2 Steckdose;;;;11.0;;;;11.0;Landkreis Alb-Donau-Kreis;Merklingen;89188;Mühlweg;100;P&R Parkplatz Bahnhof Merklingen Parkplatz 101;;48.52041, 9.74128;;;;;;;
Zweckverband Region Schwäbische Alb;Normalladeeinrichtung;1.0;AC Typ 2 Steckdose;;;;11.0;;;;11.0;Landkreis Alb-Donau-Kreis;Merklingen;89188;Mühlweg;100;P&R Parkplatz Bahnhof Merklingen Parkplatz 136;;48.52041, 9.74128;;;;;;;
Zweckverband Region Schwäbische Alb;Normalladeeinrichtung;1.0;AC Typ 2 Steckdose;;;;11.0;;;;11.0;Landkreis Alb-Donau-Kreis;Merklingen;89188;Mühlweg;100;P&R Parkplatz Bahnhof Merklingen Parkplatz 139;;48.52041, 9.74128;;;;;;;
Zweckverband Region Schwäbische Alb;Normalladeeinrichtung;1.0;AC Typ 2 Steckdose;;;;11.0;;;;11.0;Landkreis Alb-Donau-Kreis;Merklingen;89188;Mühlweg;100;P&R Parkplatz Bahnhof Merklingen Parkplatz 146;;48.52041, 9.74128;;;;;;;
Zweckverband Region Schwäbische Alb;Normalladeeinrichtung;1.0;AC Typ 2 Steckdose;;;;11.0;;;;11.0;Landkreis Alb-Donau-Kreis;Merklingen;89188;Mühlweg;100;P&R Parkplatz Bahnhof Merklingen Parkplatz 147;;48.52041, 9.74128;;;;;;;
Zweckverband Region Schwäbische Alb;Normalladeeinrichtung;1.0;AC Typ 2 Steckdose;;;;11.0;;;;11.0;Landkreis Alb-Donau-Kreis;Merklingen;89188;Mühlweg;100;P&R Parkplatz Bahnhof Merklingen Parkplatz 148;;48.52041, 9.74128;;;;;;;
Zweckverband Region Schwäbische Alb;Normalladeeinrichtung;1.0;AC Typ 2 Steckdose;;;;11.0;;;;11.0;Landkreis Alb-Donau-Kreis;Merklingen;89188;Mühlweg;100;P&R Parkplatz Bahnhof Merklingen Parkplatz 157;;48.52041, 9.74128;;;;;;;
Zweckverband Region Schwäbische Alb;Normalladeeinrichtung;1.0;AC Typ 2 Steckdose;;;;11.0;;;;11.0;Landkreis Alb-Donau-Kreis;Merklingen;89188;Mühlweg;100;P&R Parkplatz Bahnhof Merklingen Parkplatz 162;;48.52041, 9.74128;;;;;;;
Zweckverband Region Schwäbische Alb;Normalladeeinrichtung;1.0;AC Typ 2 Steckdose;;;;11.0;;;;11.0;Landkreis Alb-Donau-Kreis;Merklingen;89188;Mühlweg;100;P&R Parkplatz Bahnhof Merklingen Parkplatz 164;;48.52041, 9.74128;;;;;;;
Zweckverband Region Schwäbische Alb;Normalladeeinrichtung;1.0;AC Typ 2 Steckdose;;;;11.0;;;;11.0;Landkreis Alb-Donau-Kreis;Merklingen;89188;Mühlweg;100;P&R Parkplatz Bahnhof Merklingen Parkplatz 237;;48.52063, 9.73984;;;;;;;
Zweckverband Region Schwäbische Alb;Normalladeeinrichtung;1.0;AC Typ 2 Steckdose;;;;11.0;;;;11.0;Landkreis Alb-Donau-Kreis;Merklingen;89188;Mühlweg;100;P&R Parkplatz Bahnhof Merklingen Parkplatz 241;;48.52063, 9.73984;;;;;;;
Zweckverband Region Schwäbische Alb;Normalladeeinrichtung;1.0;AC Typ 2 Steckdose;;;;11.0;;;;11.0;Landkreis Alb-Donau-Kreis;Merklingen;89188;Mühlweg;100;P&R Parkplatz Bahnhof Merklingen Parkplatz 243;;48.52063, 9.73984;;;;;;;
Zweckverband Region Schwäbische Alb;Normalladeeinrichtung;1.0;AC Typ 2 Steckdose;;;;11.0;;;;11.0;Landkreis Alb-Donau-Kreis;Merklingen;89188;Mühlweg;100;P&R Parkplatz Bahnhof Merklingen Parkplatz 244;;48.52063, 9.73984;;;;;;;
Zweckverband Region Schwäbische Alb;Normalladeeinrichtung;1.0;AC Typ 2 Steckdose;;;;11.0;;;;11.0;Landkreis Alb-Donau-Kreis;Merklingen;89188;Mühlweg;100;P&R Parkplatz Bahnhof Merklingen Parkplatz 246;;48.52063, 9.73984;;;;;;;
Zweckverband Region Schwäbische Alb;Normalladeeinrichtung;1.0;AC Typ 2 Steckdose;;;;11.0;;;;11.0;Landkreis Alb-Donau-Kreis;Merklingen;89188;Mühlweg;100;P&R Parkplatz Bahnhof Merklingen Parkplatz 247;;48.52063, 9.73984;;;;;;;
Zweckverband Region Schwäbische Alb;Normalladeeinrichtung;1.0;AC Typ 2 Steckdose;;;;11.0;;;;11.0;Landkreis Alb-Donau-Kreis;Merklingen;89188;Mühlweg;100;P&R Parkplatz Bahnhof Merklingen Parkplatz 249;;48.52063, 9.73984;;;;;;;
Zweckverband Region Schwäbische Alb;Normalladeeinrichtung;1.0;AC Typ 2 Steckdose;;;;11.0;;;;11.0;Landkreis Alb-Donau-Kreis;Merklingen;89188;Mühlweg;100;P&R Parkplatz Bahnhof Merklingen Parkplatz 250;;48.52063, 9.73984;;;;;;;
Zweckverband Region Schwäbische Alb;Normalladeeinrichtung;1.0;AC Typ 2 Steckdose;;;;11.0;;;;11.0;Landkreis Alb-Donau-Kreis;Merklingen;89188;Mühlweg;100;P&R Parkplatz Bahnhof Merklingen Parkplatz 252;;48.52063, 9.73984;;;;;;;
Zweckverband Region Schwäbische Alb;Normalladeeinrichtung;1.0;AC Typ 2 Steckdose;;;;11.0;;;;11.0;Landkreis Alb-Donau-Kreis;Merklingen;89188;Mühlweg;100;P&R Parkplatz Bahnhof Merklingen Parkplatz 254;;48.52063, 9.73984;;;;;;;
Zweckverband Region Schwäbische Alb;Normalladeeinrichtung;1.0;AC Typ 2 Steckdose;;;;11.0;;;;11.0;Landkreis Alb-Donau-Kreis;Merklingen;89188;Mühlweg;100;P&R Parkplatz Bahnhof Merklingen Parkplatz 255;;48.52063, 9.73984;;;;;;;
Zweckverband Region Schwäbische Alb;Normalladeeinrichtung;1.0;AC Typ 2 Steckdose;;;;11.0;;;;11.0;Landkreis Alb-Donau-Kreis;Merklingen;89188;Mühlweg;100;P&R Parkplatz Bahnhof Merklingen Parkplatz 256;;48.52063, 9.73984;;;;;;;
Zweckverband Region Schwäbische Alb;Normalladeeinrichtung;1.0;AC Typ 2 Steckdose;;;;11.0;;;;11.0;Landkreis Alb-Donau-Kreis;Merklingen;89188;Mühlweg;100;P&R Parkplatz Bahnhof Merklingen Parkplatz 258;;48.52063, 9.73984;;;;;;;
Zweckverband Region Schwäbische Alb;Normalladeeinrichtung;1.0;AC Typ 2 Steckdose;;;;11.0;;;;11.0;Landkreis Alb-Donau-Kreis;Merklingen;89188;Mühlweg;100;P&R Parkplatz Bahnhof Merklingen Parkplatz 261;;48.52063, 9.73984;;;;;;;
Zweckverband Region Schwäbische Alb;Normalladeeinrichtung;1.0;AC Typ 2 Steckdose;;;;11.0;;;;11.0;Landkreis Alb-Donau-Kreis;Merklingen;89188;Mühlweg;100;P&R Parkplatz Bahnhof Merklingen Parkplatz 263;;48.52063, 9.73984;;;;;;;
